"activity" "subject" "measurement" "average"
"laying" 1 "frequencyBodyAccelerationJerkMeanX" -0.9570738838
"laying" 1 "frequencyBodyAccelerationJerkMeanY" -0.9224626098
"laying" 1 "frequencyBodyAccelerationJerkMeanZ" -0.9480609042
"laying" 1 "frequencyBodyAccelerationJerkStandardDeviationX" -0.9641607086
"laying" 1 "frequencyBodyAccelerationJerkStandardDeviationY" -0.9322178704
"laying" 1 "frequencyBodyAccelerationJerkStandardDeviationZ" -0.9605869872
"laying" 1 "frequencyBodyAccelerationMagnitudeMean" -0.8617676481
"laying" 1 "frequencyBodyAccelerationMagnitudeStandardDeviation" -0.7983009404
"laying" 1 "frequencyBodyAccelerationMeanX" -0.9390990524
"laying" 1 "frequencyBodyAccelerationMeanY" -0.86706520518
"laying" 1 "frequencyBodyAccelerationMeanZ" -0.8826668762
"laying" 1 "frequencyBodyAccelerationStandardDeviationX" -0.9244374346
"laying" 1 "frequencyBodyAccelerationStandardDeviationY" -0.8336255561
"laying" 1 "frequencyBodyAccelerationStandardDeviationZ" -0.81289155944
"laying" 1 "frequencyBodyBodyAccelerationJerkMagnitudeMean" -0.9333003608
"laying" 1 "frequencyBodyBodyAccelerationJerkMagnitudeStandardDeviation" -0.9218039756
"laying" 1 "frequencyBodyBodyGyroscopeJerkMagnitudeMean" -0.9423669466
"laying" 1 "frequencyBodyBodyGyroscopeJerkMagnitudeStandardDeviation" -0.9326606676
"laying" 1 "frequencyBodyBodyGyroscopeMagnitudeMean" -0.8621901854
"laying" 1 "frequencyBodyBodyGyroscopeMagnitudeStandardDeviation" -0.82431943968
"laying" 1 "frequencyBodyGyroscopeMeanX" -0.850249174586
"laying" 1 "frequencyBodyGyroscopeMeanY" -0.9521914948
"laying" 1 "frequencyBodyGyroscopeMeanZ" -0.909302721
"laying" 1 "frequencyBodyGyroscopeStandardDeviationX" -0.8822964508
"laying" 1 "frequencyBodyGyroscopeStandardDeviationY" -0.9512320494
"laying" 1 "frequencyBodyGyroscopeStandardDeviationZ" -0.9165825082
"laying" 1 "timeBodyAccelerationJerkMagnitudeMean" -0.9543962646
"laying" 1 "timeBodyAccelerationJerkMagnitudeStandardDeviation" -0.9282456284
"laying" 1 "timeBodyAccelerationJerkMeanX" 0.0810865342
"laying" 1 "timeBodyAccelerationJerkMeanY" 0.0038382040088
"laying" 1 "timeBodyAccelerationJerkMeanZ" 0.010834236361
"laying" 1 "timeBodyAccelerationJerkStandardDeviationX" -0.958482112
"laying" 1 "timeBodyAccelerationJerkStandardDeviationY" -0.9241492736
"laying" 1 "timeBodyAccelerationJerkStandardDeviationZ" -0.9548551108
"laying" 1 "timeBodyAccelerationMagnitudeMean" -0.8419291525
"laying" 1 "timeBodyAccelerationMagnitudeStandardDeviation" -0.79514486386
"laying" 1 "timeBodyAccelerationMeanX" 0.22159824394
"laying" 1 "timeBodyAccelerationMeanY" -0.0405139534294
"laying" 1 "timeBodyAccelerationMeanZ" -0.11320355358
"laying" 1 "timeBodyAccelerationStandardDeviationX" -0.9280564692
"laying" 1 "timeBodyAccelerationStandardDeviationY" -0.83682740562
"laying" 1 "timeBodyAccelerationStandardDeviationZ" -0.826061401628
"laying" 1 "timeBodyGyroscopeJerkMagnitudeMean" -0.96346103
"laying" 1 "timeBodyGyroscopeJerkMagnitudeStandardDeviation" -0.9358409828
"laying" 1 "timeBodyGyroscopeJerkMeanX" -0.107270949192
"laying" 1 "timeBodyGyroscopeJerkMeanY" -0.04151728689
